Freq(MHz),Rs[Ohm],Xs[Ohm],Z[Ohm],,"470Ohm resistor measured with SARK 100, LuboJ. Migo, 5.1.2017",,,,,,,,,,,
1.8,384.928348,164.473674,418.5945802,,,,,,,,,,,,,
1.9,389.69621,159.597254,421.110935,,,,,,,,,,,,,
2,378.015866,172.412318,415.4780408,,,,,,,,,,,,,
2.1,380.127585,167.505523,415.3974977,,,,,,,,,,,,,
2.2,380.681294,166.81815,415.6278898,,,,,,,,,,,,,
2.3,382.026696,164.297642,415.8582831,,,,,,,,,,,,,
2.4,382.931513,164.304308,416.6922717,,,,,,,,,,,,,
2.5,381.818091,164.490908,415.7430858,,,,,,,,,,,,,
2.6,385.176695,161.452558,417.6458007,,,,,,,,,,,,,
2.7,381.97722,166.221672,416.5768127,,,,,,,,,,,,,
2.8,384.051466,161.073058,416.461353,,,,,,,,,,,,,
2.9,385.154939,161.204958,417.5300774,,,,,,,,,,,,,
3,381.904228,165.810325,416.3458937,,,,,,,,,,,,,
3.1,387.124031,161.078368,419.2985285,,,,,,,,,,,,,
3.2,382.987826,164.740463,416.9161726,,,,,,,,,,,,,
3.3,384.515196,165.157024,418.4839047,,,,,,,,,,,,,
3.4,384.339498,163.792565,417.7856557,,,,,,,,,,,,,
3.5,386.062511,161.201874,418.366235,,,,,,,,,,,,,
3.6,387.172221,161.9468,419.6773698,,,,,,,,,,,,,
3.7,390.434485,156.326686,420.5676162,,,,,,,,,,,,,
3.8,387.178806,159.867908,418.8856357,,,,,,,,,,,,,
3.9,383.897158,163.964566,417.4462921,,,,,,,,,,,,,
4,387.104939,157.80274,418.033418,,,,,,,,,,,,,
4.1,388.531983,158.118432,419.4741236,,,,,,,,,,,,,
4.2,386.888191,159.492551,418.4738297,,,,,,,,,,,,,
4.3,384.332439,161.119123,416.7382817,,,,,,,,,,,,,
4.4,383.154054,162.648228,416.2468921,,,,,,,,,,,,,
4.5,381.656607,163.141892,415.0626972,,,,,,,,,,,,,
4.6,381.216417,163.817156,414.9241102,,,,,,,,,,,,,
4.7,384.133321,160.923705,416.4791077,,,,,,,,,,,,,
4.8,380.662233,163.29679,414.2095813,,,,,,,,,,,,,
4.9,379.714095,164.621738,413.8636376,,,,,,,,,,,,,
5,382.998289,167.081159,417.856199,,,,,,,,,,,,,
5.1,380.553022,170.549972,417.0226559,,,,,,,,,,,,,
5.2,382.355273,166.760944,417.1387865,,,,,,,,,,,,,
5.3,379.694265,170.153922,416.0770266,,,,,,,,,,,,,
5.4,379.053722,169.883306,415.3818265,,,,,,,,,,,,,
5.5,378.729974,170.603835,415.3818264,,,,,,,,,,,,,
5.6,376.922177,174.009404,415.1500936,,,,,,,,,,,,,
5.7,374.82519,176.285838,414.2108397,,,,,,,,,,,,,
5.8,374.601494,176.218204,413.9796308,,,,,,,,,,,,,
5.9,374.919583,176.084998,414.2108403,,,,,,,,,,,,,
6,378.240034,170.562958,414.9183606,,,,,,,,,,,,,
6.1,374.273424,175.2607,413.2758266,,,,,,,,,,,,,
6.2,377.838429,171.730985,415.0342271,,,,,,,,,,,,,
6.3,375.714905,170.738322,412.6902766,,,,,,,,,,,,,
6.4,373.9386,175.159756,412.9297963,,,,,,,,,,,,,
6.5,371.554706,176.951435,411.5394391,,,,,,,,,,,,,
6.6,370.604443,177.871799,411.0791044,,,,,,,,,,,,,
6.7,372.986466,175.559238,412.2377346,,,,,,,,,,,,,
6.8,369.651435,179.317221,410.8489371,,,,,,,,,,,,,
6.9,370.982074,176.547867,410.8489364,,,,,,,,,,,,,
7,368.951698,178.550846,409.8850571,,,,,,,,,,,,,
7.1,369.544828,177.679026,410.0405055,,,,,,,,,,,,,
7.2,372.587349,171.481961,410.155331,,,,,,,,,,,,,
7.3,370.385726,176.360348,410.2298848,,,,,,,,,,,,,
7.4,368.419722,175.780952,408.2058729,,,,,,,,,,,,,
7.5,373.808161,166.739937,409.3100876,,,,,,,,,,,,,
7.6,368.424262,175.943463,408.2799762,,,,,,,,,,,,,
7.7,365.34276,180.454387,407.4789787,,,,,,,,,,,,,
7.8,366.764225,177.809979,407.5934069,,,,,,,,,,,,,
7.9,363.923854,180.755368,406.3410816,,,,,,,,,,,,,
8,341.797767,220.179752,406.5769751,,,,,,,,,,,,,
8.1,336.005949,225.793863,404.8244883,,,,,,,,,,,,,
8.2,337.571917,223.04453,404.6030913,,,,,,,,,,,,,
8.3,336.226811,223.499101,403.7329768,,,,,,,,,,,,,
8.4,337.618647,221.336449,403.7030771,,,,,,,,,,,,,
8.5,338.694546,219.279896,403.4819305,,,,,,,,,,,,,
8.6,336.604587,220.699419,402.5057534,,,,,,,,,,,,,
8.7,336.489896,221.276125,402.7264253,,,,,,,,,,,,,
8.8,340.275695,215.993982,403.0396368,,,,,,,,,,,,,
8.9,338.179594,215.867498,401.2034577,,,,,,,,,,,,,
9,339.610344,215.222218,402.0644089,,,,,,,,,,,,,
9.1,336.684834,216.00138,400.0165917,,,,,,,,,,,,,
9.2,336.99876,214.898888,399.6869979,,,,,,,,,,,,,
9.3,335.775156,214.824074,398.6155267,,,,,,,,,,,,,
9.4,338.054616,212.202641,399.1376758,,,,,,,,,,,,,
9.5,335.311556,213.363756,397.4392179,,,,,,,,,,,,,
9.6,333.597847,215.685757,397.2503861,,,,,,,,,,,,,
9.7,334.679409,212.174326,396.2679036,,,,,,,,,,,,,
9.8,335.793117,209.995828,396.0495742,,,,,,,,,,,,,
9.9,336.371738,208.239364,395.6129154,,,,,,,,,,,,,
10,334.763745,208.482213,394.3749461,,,,,,,,,,,,,
10.1,335.529151,207.594134,394.5568852,,,,,,,,,,,,,
10.2,335.084011,207.28496,394.0156711,,,,,,,,,,,,,
10.3,335.540697,205.921465,393.6892291,,,,,,,,,,,,,
10.4,333.872588,207.249489,392.9672451,,,,,,,,,,,,,
10.5,332.034573,208.630726,392.1399463,,,,,,,,,,,,,
10.6,333.961036,204.704728,391.7065218,,,,,,,,,,,,,
10.7,332.522395,204.27933,390.2578479,,,,,,,,,,,,,
10.8,333.790754,201.155849,389.7177736,,,,,,,,,,,,,
10.9,332.789792,202.599898,389.609759,,,,,,,,,,,,,
11,340.012445,199.802435,394.3722553,,,,,,,,,,,,,
11.1,337.387552,200.565197,392.5006478,,,,,,,,,,,,,
11.2,336.633209,199.374517,391.2443168,,,,,,,,,,,,,
11.3,335.445944,200.621476,390.8618144,,,,,,,,,,,,,
11.4,334.344801,200.242764,389.7224788,,,,,,,,,,,,,
11.5,335.787088,197.387408,389.505786,,,,,,,,,,,,,
11.6,333.050647,200.194426,388.5878815,,,,,,,,,,,,,
11.7,333.597831,199.913036,388.9122456,,,,,,,,,,,,,
11.8,333.740117,197.985408,388.0472748,,,,,,,,,,,,,
11.9,332.749057,198.212315,387.3113176,,,,,,,,,,,,,
12,331.56875,198.280562,386.3327804,,,,,,,,,,,,,
12.1,331.56174,198.216454,386.2938649,,,,,,,,,,,,,
12.2,331.268246,198.077229,385.9705163,,,,,,,,,,,,,
12.3,329.449946,198.720324,384.7428155,,,,,,,,,,,,,
12.4,328.473359,198.802654,383.9495316,,,,,,,,,,,,,
12.5,325.85881,199.290368,381.9693899,,,,,,,,,,,,,
12.6,324.851051,202.014011,382.5413258,,,,,,,,,,,,,
12.7,324.192301,201.857439,381.8992979,,,,,,,,,,,,,
12.8,323.562672,202.46199,381.6852894,,,,,,,,,,,,,
12.9,323.211819,201.544299,380.9015416,,,,,,,,,,,,,
13,325.329709,201.732361,382.7993796,,,,,,,,,,,,,
13.1,321.53579,203.830708,380.6996477,,,,,,,,,,,,,
13.2,320.738725,203.238731,379.7095094,,,,,,,,,,,,,
13.3,318.425939,205.027652,378.723404,,,,,,,,,,,,,
13.4,318.683532,204.82386,378.8297866,,,,,,,,,,,,,
13.5,315.682373,205.699911,376.7861648,,,,,,,,,,,,,
13.6,316.529633,205.804286,377.5531919,,,,,,,,,,,,,
13.7,314.395944,206.313482,376.0452931,,,,,,,,,,,,,
13.8,313.900608,207.258491,376.1511316,,,,,,,,,,,,,
13.9,313.211824,205.924723,374.8421511,,,,,,,,,,,,,
14,311.362985,207.191314,373.9988623,,,,,,,,,,,,,
14.1,310.493523,207.849546,373.6410866,,,,,,,,,,,,,
14.2,309.857766,207.634307,372.9930838,,,,,,,,,,,,,
14.3,307.441418,209.30767,371.9273131,,,,,,,,,,,,,
14.4,309.572296,207.681884,372.7824719,,,,,,,,,,,,,
14.5,306.552809,210.257302,371.7294147,,,,,,,,,,,,,
14.6,304.838717,210.484705,370.4462909,,,,,,,,,,,,,
14.7,303.897894,210.53991,369.7039135,,,,,,,,,,,,,
14.8,303.205401,209.863166,368.7493236,,,,,,,,,,,,,
14.9,301.572201,210.568663,367.8110306,,,,,,,,,,,,,
15,305.732744,206.934212,369.1805505,,,,,,,,,,,,,
15.1,298.785174,212.169732,366.4540563,,,,,,,,,,,,,
15.2,297.107901,211.839941,364.8962393,,,,,,,,,,,,,
15.3,295.854636,212.700284,364.378068,,,,,,,,,,,,,
15.4,295.104395,214.543883,364.8502181,,,,,,,,,,,,,
15.5,295.919924,212.43178,364.2744331,,,,,,,,,,,,,
15.6,295.09772,212.3398,363.5530979,,,,,,,,,,,,,
15.7,293.330542,213.215059,362.6340694,,,,,,,,,,,,,
15.8,290.62141,215.512413,361.8099005,,,,,,,,,,,,,
15.9,288.65572,216.585146,360.8756713,,,,,,,,,,,,,
16,287.217265,215.290991,358.9484199,,,,,,,,,,,,,
16.1,286.972705,215.616871,358.9484204,,,,,,,,,,,,,
16.2,283.333361,218.729931,357.9393471,,,,,,,,,,,,,
16.3,286.196345,216.284421,358.7301195,,,,,,,,,,,,,
16.4,283.854075,217.045609,357.3260868,,,,,,,,,,,,,
16.5,281.214469,218.3557,356.0348147,,,,,,,,,,,,,
16.6,281.085335,217.391515,355.3421398,,,,,,,,,,,,,
16.7,281.210942,216.563496,354.9356867,,,,,,,,,,,,,
16.8,281.486976,216.671549,355.2203229,,,,,,,,,,,,,
16.9,278.276711,217.276566,353.0538684,,,,,,,,,,,,,
17,252.562669,255.242489,359.0774707,,,,,,,,,,,,,
17.1,252.35737,255.170925,358.8822135,,,,,,,,,,,,,
17.2,252.333193,254.782782,358.5893282,,,,,,,,,,,,,
17.3,252.993593,252.932294,357.7436281,,,,,,,,,,,,,
17.4,251.424314,252.897149,356.6106471,,,,,,,,,,,,,
17.5,250.020458,252.476491,355.3232443,,,,,,,,,,,,,
17.6,249.683275,252.401551,355.0327883,,,,,,,,,,,,,
17.7,249.957123,250.956045,354.1998022,,,,,,,,,,,,,
17.8,250.651444,249.456753,353.6309064,,,,,,,,,,,,,
17.9,249.871191,249.067278,352.8032328,,,,,,,,,,,,,
18,250.622252,245.702359,350.9717402,,,,,,,,,,,,,
18.1,249.793986,247.565593,351.6898609,,,,,,,,,,,,,
18.2,249.21405,247.120531,350.96467,,,,,,,,,,,,,
18.3,248.110071,246.798501,349.9544362,,,,,,,,,,,,,
18.4,248.463833,245.69186,349.426339,,,,,,,,,,,,,
18.5,247.920928,244.948956,348.5179731,,,,,,,,,,,,,
18.6,248.520491,244.953332,348.9478031,,,,,,,,,,,,,
18.7,246.059205,244.131921,346.6201483,,,,,,,,,,,,,
18.8,247.292087,242.747268,346.5250531,,,,,,,,,,,,,
18.9,245.402457,242.246051,344.82679,,,,,,,,,,,,,
19,251.321059,244.077173,350.3368965,,,,,,,,,,,,,
19.1,250.910647,243.336734,349.526707,,,,,,,,,,,,,
19.2,248.689793,243.717552,348.2023238,,,,,,,,,,,,,
19.3,250.563683,242.90329,348.9758839,,,,,,,,,,,,,
19.4,249.655508,241.805751,347.5599141,,,,,,,,,,,,,
19.5,248.825329,241.512943,346.7600698,,,,,,,,,,,,,
19.6,248.706881,240.352432,345.8676108,,,,,,,,,,,,,
19.7,248.148978,240.061068,345.2640028,,,,,,,,,,,,,
19.8,247.674173,239.276411,344.3772595,,,,,,,,,,,,,
19.9,246.736605,238.567034,343.2101134,,,,,,,,,,,,,
20,249.320031,236.774686,343.8353236,,,,,,,,,,,,,
20.1,245.23239,237.866999,341.6425534,,,,,,,,,,,,,
20.2,245.116768,236.865461,340.8628413,,,,,,,,,,,,,
20.3,244.848671,236.16,340.1799778,,,,,,,,,,,,,
20.4,243.953866,236.106756,339.4994683,,,,,,,,,,,,,
20.5,243.915522,234.764608,338.5398101,,,,,,,,,,,,,
20.6,243.438026,234.421891,337.9581268,,,,,,,,,,,,,
20.7,243.788454,233.651508,337.6771202,,,,,,,,,,,,,
20.8,242.838898,233.66908,337.0044055,,,,,,,,,,,,,
20.9,243.532692,232.67527,336.8173887,,,,,,,,,,,,,
21,242.759951,230.96249,335.0762086,,,,,,,,,,,,,
21.1,241.472302,231.617283,334.5974274,,,,,,,,,,,,,
21.2,241.410593,230.588809,333.8416889,,,,,,,,,,,,,
21.3,240.748331,230.325792,333.181226,,,,,,,,,,,,,
21.4,241.485878,229.283197,332.9958163,,,,,,,,,,,,,
21.5,239.626364,229.330136,331.6822359,,,,,,,,,,,,,
21.6,238.176677,228.956729,330.3775314,,,,,,,,,,,,,
21.7,239.562018,228.317841,330.9365453,,,,,,,,,,,,,
21.8,239.82839,227.636278,330.6598429,,,,,,,,,,,,,
21.9,237.672199,226.689283,328.4449805,,,,,,,,,,,,,
22,237.412948,226.695391,328.2616459,,,,,,,,,,,,,
22.1,236.242097,226.325872,327.1600965,,,,,,,,,,,,,
22.2,235.662235,226.007075,326.5208829,,,,,,,,,,,,,
22.3,235.019568,225.362139,325.6106433,,,,,,,,,,,,,
22.4,233.982282,225.525586,324.9761502,,,,,,,,,,,,,
22.5,233.662759,224.553034,324.0715199,,,,,,,,,,,,,
22.6,232.398801,225.216736,323.6228992,,,,,,,,,,,,,
22.7,234.229633,223.567539,323.7992672,,,,,,,,,,,,,
22.8,231.329573,223.490698,321.6542607,,,,,,,,,,,,,
22.9,231.640919,222.90789,321.4738602,,,,,,,,,,,,,
23,239.872075,226.306426,329.7775171,,,,,,,,,,,,,
23.1,237.030614,226.926419,328.1449552,,,,,,,,,,,,,
23.2,238.006824,225.500574,327.8685059,,,,,,,,,,,,,
23.3,236.021951,225.754983,326.6062977,,,,,,,,,,,,,
23.4,234.234601,226.444133,325.7956318,,,,,,,,,,,,,
23.5,233.607852,225.929325,324.9872127,,,,,,,,,,,,,
23.6,232.025467,226.40183,324.1814399,,,,,,,,,,,,,
23.7,231.640688,226.664983,324.0901462,,,,,,,,,,,,,
23.8,231.663461,225.622618,323.3783,,,,,,,,,,,,,
23.9,229.617922,226.076154,322.2341036,,,,,,,,,,,,,
24,228.632717,227.430885,322.4867854,,,,,,,,,,,,,
24.1,228.350078,225.356073,320.8256813,,,,,,,,,,,,,
24.2,226.754022,225.589615,319.8563129,,,,,,,,,,,,,
24.3,226.096111,225.133542,319.0682735,,,,,,,,,,,,,
24.4,224.073916,226.295023,318.4628036,,,,,,,,,,,,,
24.5,223.679209,225.710026,317.7694201,,,,,,,,,,,,,
24.6,223.244303,225.88756,317.5896859,,,,,,,,,,,,,
24.7,222.666044,225.935526,317.2176367,,,,,,,,,,,,,
24.8,222.310587,224.60363,316.0202331,,,,,,,,,,,,,
24.9,221.145775,225.374483,315.7516609,,,,,,,,,,,,,
25,219.002648,225.890676,314.6247882,,,,,,,,,,,,,
25.1,219.221903,225.100004,314.2105259,,,,,,,,,,,,,
25.2,217.435847,225.188321,313.0305536,,,,,,,,,,,,,
25.3,216.950285,225.286238,312.7639928,,,,,,,,,,,,,
25.4,215.244471,225.298964,311.5923707,,,,,,,,,,,,,
25.5,215.910119,225.225912,311.9998252,,,,,,,,,,,,,
25.6,214.336325,225.359169,311.0093492,,,,,,,,,,,,,
25.7,212.195468,225.068326,309.3261515,,,,,,,,,,,,,
25.8,213.265984,224.60891,309.728175,,,,,,,,,,,,,
25.9,211.361959,224.819659,308.5737461,,,,,,,,,,,,,
26,214.768089,225.209756,311.1989175,,,,,,,,,,,,,
26.1,214.948949,225.102994,311.2465399,,,,,,,,,,,,,
26.2,213.868715,225.454442,310.756388,,,,,,,,,,,,,
26.3,211.849405,225.775169,309.6039362,,,,,,,,,,,,,
26.4,212.914592,224.405575,309.3387877,,,,,,,,,,,,,
26.5,209.45171,225.07021,307.4518145,,,,,,,,,,,,,
26.6,208.462571,225.094593,306.7967068,,,,,,,,,,,,,
26.7,210.140026,225.202934,308.0181683,,,,,,,,,,,,,
26.8,206.620213,225.0196,305.4926068,,,,,,,,,,,,,
26.9,207.310968,224.383366,305.4926061,,,,,,,,,,,,,
27,206.16202,224.677737,304.9309168,,,,,,,,,,,,,
27.1,204.965415,224.777103,304.1965933,,,,,,,,,,,,,
27.2,206.341487,223.158451,303.9350317,,,,,,,,,,,,,
27.3,204.008488,224.193662,303.1208691,,,,,,,,,,,,,
27.4,202.881506,224.231936,302.391909,,,,,,,,,,,,,
27.5,202.612105,223.612465,301.7518842,,,,,,,,,,,,,
27.6,202.380605,223.354316,301.4051422,,,,,,,,,,,,,
27.7,199.522243,223.438337,299.5560313,,,,,,,,,,,,,
27.8,198.268526,223.257357,298.5870993,,,,,,,,,,,,,
27.9,198.657955,222.795799,298.5011744,,,,,,,,,,,,,
28,200.387347,227.683488,303.3065439,,,,,,,,,,,,,
28.1,200.612977,227.48471,303.3065443,,,,,,,,,,,,,
28.2,199.236926,226.927355,301.9791005,,,,,,,,,,,,,
28.3,198.783018,226.283439,301.1957553,,,,,,,,,,,,,
28.4,199.203983,225.208577,300.6678067,,,,,,,,,,,,,
28.5,198.200682,225.054923,299.8886939,,,,,,,,,,,,,
28.6,198.182966,224.25898,299.2800998,,,,,,,,,,,,,
28.7,197.232952,223.831739,298.3311662,,,,,,,,,,,,,
28.8,197.122583,224.040703,298.4150622,,,,,,,,,,,,,
28.9,197.026664,222.626956,297.2915536,,,,,,,,,,,,,
29,196.360812,222.301878,296.606968,,,,,,,,,,,,,
29.1,197.001424,221.510859,296.4399125,,,,,,,,,,,,,
29.2,196.945139,221.225521,296.1893295,,,,,,,,,,,,,
29.3,196.264221,220.849661,295.455948,,,,,,,,,,,,,
29.4,194.826609,220.305623,294.0951803,,,,,,,,,,,,,
29.5,194.697771,219.739717,293.586044,,,,,,,,,,,,,
29.6,194.393269,220.023754,293.5969948,,,,,,,,,,,,,
29.7,192.861943,219.67634,292.3241752,,,,,,,,,,,,,
29.8,192.112374,219.772197,291.9023515,,,,,,,,,,,,,
29.9,191.515906,219.296949,291.152012,,,,,,,,,,,,,
